COUNTRY CODE,n_checklists,n_observers,n_tourist,n_tourist_ecoregion,local,local_ecoregion,date_range_cell,date_range_ecoregion,guided,guided_ecoregion
MZ,17169,832,5578,3510,11591,12237,119981273.03861611,176644457.07753858,0.05542759491789880377,0.04558702638068903669
NA,83282,2920,62440,53944,20842,26436,53045663.956197017363,81445697.377457078875,0.25915519517254384311,0.25999137435307648074
NC,6961,607,5776,3672,1185,1267,40606175.434563999425,57774012.877100627657,0.05918106206014075496,0.06378331148973350808
NE,1096,87,437,285,659,811,47448341.605839416058,205185258.39416058,0.00000000000000000000,0.00000000000000000000
NF,6285,444,4032,3143,2253,1790,71751673.890214797136,70130317.778228258666,0.02307901167526472984,0.01102418207681365576
NG,6721,405,1855,1117,4866,5547,83003571.135247730992,149015080.91236495,0.01467423204852279397,0.01207560378018900945
NI,108440,2697,14062,8814,94378,97822,201458714.27517521,239394474.75149105,0.03329291147613273068,0.02419076710843967089
NL,279511,14555,53707,26915,225804,230100,363763951.58687851,494332778.18648717,0.01685084149204709163,0.01145188890351454522
NO,274311,7682,74635,36409,199676,149682,432158796.07598674,481094687.60122736,0.02579845484715070794,0.01947919310212494661
NP,117319,3035,29007,24977,88312,92342,248524149.87512679,265948177.36939456,0.04477504745293182168,0.04015555666350899935
NR,13,9,13,,0,,59815.384615384615,,,
NU,215,61,202,106,13,36,17651720.930232558140,200144383.09859155,0.00000000000000000000,0.00000000000000000000
NZ,984031,14077,205944,122608,778087,636730,378829254.68486257,439498730.63958343,0.03569626728553963267,0.02479623176421947906
OM,38012,1334,25589,19786,12423,14333,86277293.907187204041,130452905.93510947,0.13329564725833804409,0.14129265293575161389
PA,522405,15936,182738,114658,339667,377745,223603914.14936687,268018338.05886642,0.14849619046772343774,0.10874617682225078255
PE,576111,15567,246551,180762,329560,372006,147753799.41157173,200966642.42792636,0.15766910954017770283,0.13207887548734753477
PF,10308,932,7988,4379,2320,1313,32501872.875436554133,37175467.041461700632,0.02529510961214165261,0.02126716880815241471
PG,40841,1054,23549,19069,17292,18086,89451696.403124311354,118514488.17117481,0.19964914648134403886,0.20975490024194396718
PH,130938,3555,42405,30914,88533,89112,201345440.09531229,252350003.76585073,0.08387737324728604479,0.06821000009763813355
PK,20299,608,2971,2248,17328,17729,272673164.66821026,314560956.78029734,0.01714688805686689457,0.01234634172526705674
PL,359613,6046,41564,20392,318049,322777,361871743.16390119,445237153.78953227,0.01256366826330583229,0.00987319805763171114
PM,12881,174,532,,12349,,749306974.80009316,,0.00031948881789137380,
PN,494,73,401,190,93,70,34071857.489878542510,34919224.615384615385,0.03571428571428571429,0.04000000000000000000
PR,260331,10265,81542,68599,178789,167838,380916632.49017597,377110124.25297225,0.07540267515577943983,0.07196045610952126171
PS,23601,1590,2199,1943,21402,21656,390490391.96644210,403394493.66498580,0.01259835357256560695,0.01298935594443442179
PT,1028608,13979,111522,66250,917086,828400,459533152.56346441,507400880.95590454,0.01773181535461529410,0.01327901597486232222
PW,13540,295,2087,820,11453,3027,343895641.94977843,250376666.70132571,0.00237368599525262801,0.00320615581917281180
PY,58546,1533,11629,6626,46917,51920,253789542.74587504,374425434.27732040,0.07125469401619081766,0.04301308465264223234
QA,11244,1333,2358,725,8886,7029,171046342.796157950907,237148778.95279856,0.00976709241172051089,0.00698519139424420229
RE,2748,380,1747,1298,1001,1010,66305711.790393013100,69187719.930675909879,0.02405498281786941581,0.01334519572953736655
RO,71975,2263,20793,15211,51182,55712,226895920.50573116,274475430.58246267,0.01537800687285223368,0.01796562814723368312
RS,85646,1188,5058,2913,80588,82733,502730057.73532915,481622824.03381360,0.00690151321164234066,0.00483865186795856680
RU,132309,4519,38552,24638,93757,98871,140335272.97462758,199637624.95688573,0.05236056306495396412,0.04409569306561170411
RW,23849,1432,9300,7762,14549,16087,101336342.488154639608,137929519.35930228,0.07250605593481611980,0.06542300256048492449
SA,24549,852,9761,6452,14788,15361,77454272.320664792863,213395166.55205611,0.09881403946799827147,0.12524094552094957898
SB,5043,330,3990,1328,1053,1544,44099310.410469958358,124262182.72980501,0.15641025641025641026,0.08431272355646397547
SC,8179,756,5678,2592,2501,1146,118864395.94082406,172827066.45264848,0.02466907340553549940,0.03366583541147132170
SD,1401,108,435,204,966,1166,62813540.042826552463,100158916.20437956,0.00102459016393442623,0.00085034013605442177
SE,400672,7574,49616,26075,351056,328741,598644253.80560658,716532825.24350649,0.00904437283435373118,0.00868178226972556385
SG,142277,6237,17414,11629,124863,103468,519674369.78851114,591227413.28792236,0.01212656228220972913,0.01157999698976520169
SH,2410,208,2005,708,405,159,104648934.77178423,107463861.59169550,0.00147601476014760148,0.00000000000000000000
SI,42230,2334,9457,7079,32773,34097,309709572.98602889,317668220.40023315,0.01550696958467546535,0.01074636890269498783
SJ,13644,1078,9320,2658,4324,1976,62193498.680738786280,96542733.534743202417,0.09333689411136333289,0.10166609996599795988
SK,61804,2106,6476,3950,55328,57854,264615678.20853019,311440675.73619830,0.00849593710891368339,0.00454234972677595628
SL,2558,184,1695,1272,863,1116,52784793.119624706802,84671963.819095477387,0.00000000000000000000,0.04459930313588850174
SM,344,189,305,192,39,152,21898130.232558139535,155973097.67441860,0.01923076923076923077,0.02590673575129533679
SN,36492,1099,22292,17763,14200,17813,165742465.76783953,278459821.90240612,0.13029734611643740447,0.16260898725687458082
SO,1632,93,1026,822,606,793,60184800.000000000000,157924915.91331269,0.00953516090584028605,0.00878048780487804878
SR,11670,472,7226,5679,4444,5412,82978848.740359897172,146624266.594536110360,0.21803680981595092025,0.18733880422039859320
SS,1070,99,299,147,771,923,59789930.467289719626,109601629.90654206,0.00759493670886075949,0.00851063829787234043
ST,4556,265,3128,2720,1428,1288,77222313.608428446005,79258914.970059880240,0.06232686980609418283,0.05940594059405940594
SV,96573,1865,6756,4604,89817,90228,349171582.91447920,356946663.67470896,0.01978998821252068216,0.01419403959103763324
SX,4548,1102,2384,1302,2164,2242,102338729.28759894,171882121.89616253,0.13586765223512847589,0.11267605633802816901
